id;code_postal;latitude;longitude
1;01400;46.1567802;4.92469931
2;01640;46.0100861;5.4287591
3;01090;46.0719299;4.82443571
4;01500;45.9584084;5.37599182
5;01330;46.0001221;4.91060162
6;01300;45.7464256;5.60249186
10;01350;45.9193764;5.789042
11;01100;46.2075577;5.6599164
12;01110;46.004818;5.50401735
13;01230;45.8918648;5.49309826
16;01190;46.4755669;4.96954823
17;01510;45.8566284;5.5744977
18;01480;45.9943771;4.81913805
19;01200;46.1049232;5.82482862
21;01250;46.2547226;5.4688592
23;01570;46.3860855;4.88606405
24;01340;46.2858582;5.18164921
25;01380;46.3223381;4.95791101
27;01360;45.829998;5.10215664
28;01990;46.1195297;4.90657568
29;01270;46.4250107;5.26294422
34;01130;46.255558;5.77904034
35;01260;45.8922462;5.65704489
36;01470;45.8357353;5.47867489
37;01370;46.3214836;5.28474951
41;01290;46.217907;4.84537125
43;01700;45.8420029;4.99646711
46;01150;45.8435669;5.2492609
48;01120;45.8486176;5.02185965
51;01450;46.1963387;5.46744585
53;01000;46.2074509;5.24612379
54;01800;45.8877373;5.14119434
63;01460;46.164566;5.545959
65;01310;46.2115517;5.14509487
67;01430;46.1229401;5.4945693
69;01240;46.1326561;5.26542377
70;01170;46.3179855;6.07600689
73;01320;46.0026321;5.17399263
77;01630;46.1753731;5.96792698
80;01410;46.2206192;5.82427406
81;01420;46.0018997;5.77951813
95;01660;46.2031517;5.05053997
106;01390;45.9181557;4.88479471
110;01550;46.1415291;5.90460968
124;01560;46.4336014;5.22566605
132;01750;46.2835007;4.87083912
141;01220;46.3720512;6.11931753
145;01590;46.3134804;5.64523649
148;01160;46.068409;5.29528761
157;01210;46.2543182;6.10680246
416;02800;49.6916237;3.39291072
429;02600;49.2222824;3.20633149
441;02540;48.8929214;3.49594164
455;02580;49.9011154;3.85807347
531;02880;49.4240189;3.37796164
1087;02640;49.7459488;3.17871475
1102;02790;49.7823639;3.21914577
1229;03460;46.6710548;3.15295506
1238;03500;46.2598267;3.27289248
1265;03270;46.0613251;3.51510191
1320;03290;46.5226326;3.7340126
1554;04140;44.2997475;6.31760263
1559;04330;43.9466248;6.39100218
1570;04700;43.9312477;5.88001013
1583;04160;44.0857048;5.9865303
1640;04100;43.8456078;5.77458239
419;02190;49.3979797;3.97606707
444;02490;49.8585129;3.15076065
469;02170;50.0386772;3.74882126
571;02670;49.5397797;3.25951171
877;02630;49.9910812;3.56086969
1221;03200;46.0941238;3.449193
1241;03800;46.122776;3.13856697
1254;03300;46.1802406;3.50948668
1341;03400;46.6267166;3.39728355
1582;04660;44.0958557;6.14714718
1624;04310;44.0033188;5.90325689
1658;04360;43.840992;6.22957611
1746;05120;44.7840347;6.46875811
236;01280;46.2600517;6.0731039
381;01710;46.2335548;5.97889662
423;02370;49.4392014;3.50642109
435;02360;49.7450104;4.12066412
454;02250;49.7032318;3.78653288
468;02850;49.0968628;3.55830812
499;02310;49.0086861;3.22390413
698;02100;49.8980522;3.36618471
716;02460;49.1764526;3.14054966
1222;03210;46.6195679;3.1502955
1234;03130;46.3288078;3.96689296
